,city_name,date,temperature
255,Oakland,2022-04-24 15:00,68.7
256,Oakland,2022-04-24 16:00,65.7
257,Oakland,2022-04-24 17:00,62.7
258,Oakland,2022-04-24 18:00,59.7
259,Oakland,2022-04-24 19:00,56.9
260,Oakland,2022-04-24 20:00,54.1
261,Oakland,2022-04-24 21:00,51.3
262,Oakland,2022-04-24 22:00,50.8
263,Oakland,2022-04-24 23:00,50.4
264,Oakland,2022-04-25 00:00,50.0
265,Oakland,2022-04-25 01:00,49.9
266,Oakland,2022-04-25 02:00,49.8
267,Oakland,2022-04-25 03:00,49.6
268,Oakland,2022-04-25 04:00,49.8
269,Oakland,2022-04-25 05:00,50.0
270,Oakland,2022-04-25 06:00,50.2
271,Oakland,2022-04-25 07:00,52.5
272,Oakland,2022-04-25 08:00,54.9
273,Oakland,2022-04-25 09:00,57.2
274,Oakland,2022-04-25 10:00,59.5
275,Oakland,2022-04-25 11:00,61.8
276,Oakland,2022-04-25 12:00,64.0
277,Oakland,2022-04-25 13:00,63.9
278,Oakland,2022-04-25 14:00,63.8
279,Oakland,2022-04-25 15:00,63.7
280,Oakland,2022-04-25 16:00,62.7
281,Oakland,2022-04-25 17:00,61.6
282,Oakland,2022-04-25 18:00,60.6
283,Oakland,2022-04-25 19:00,57.6
284,Oakland,2022-04-25 20:00,54.6
285,Oakland,2022-04-25 21:00,51.6
286,Oakland,2022-04-25 22:00,51.1
287,Oakland,2022-04-25 23:00,50.5
288,Oakland,2022-04-26 00:00,50.0
289,Oakland,2022-04-26 01:00,49.3
290,Oakland,2022-04-26 02:00,48.7
291,Oakland,2022-04-26 03:00,48.0
292,Oakland,2022-04-26 04:00,48.7
293,Oakland,2022-04-26 05:00,49.5
294,Oakland,2022-04-26 06:00,50.2
295,Oakland,2022-04-26 07:00,50.5
296,Oakland,2022-04-26 08:00,50.9
297,Oakland,2022-04-26 09:00,51.3
298,Oakland,2022-04-26 10:00,54.3
299,Oakland,2022-04-26 11:00,57.3
300,Oakland,2022-04-26 12:00,60.3
301,Oakland,2022-04-26 13:00,61.6
302,Oakland,2022-04-26 14:00,62.9
303,Oakland,2022-04-26 15:00,64.2
304,Oakland,2022-04-26 16:00,63.8
305,Oakland,2022-04-26 17:00,63.4
306,Oakland,2022-04-26 18:00,63.0
307,Oakland,2022-04-26 19:00,58.4
308,Oakland,2022-04-26 20:00,53.8
309,Oakland,2022-04-26 21:00,49.3
310,Oakland,2022-04-26 22:00,48.1
311,Oakland,2022-04-26 23:00,47.0
312,Oakland,2022-04-27 00:00,45.9
313,Oakland,2022-04-27 01:00,45.4
314,Oakland,2022-04-27 02:00,44.9
315,Oakland,2022-04-27 03:00,44.4
316,Oakland,2022-04-27 04:00,44.3
317,Oakland,2022-04-27 05:00,44.2
318,Oakland,2022-04-27 06:00,44.1
319,Oakland,2022-04-27 07:00,46.5
320,Oakland,2022-04-27 08:00,48.9
321,Oakland,2022-04-27 09:00,51.3
322,Oakland,2022-04-27 10:00,52.7
323,Oakland,2022-04-27 11:00,54.1
324,Oakland,2022-04-27 12:00,55.6
325,Oakland,2022-04-27 13:00,56.9
326,Oakland,2022-04-27 14:00,58.2
327,Oakland,2022-04-27 15:00,59.5
328,Oakland,2022-04-27 16:00,57.1
329,Oakland,2022-04-27 17:00,54.6
330,Oakland,2022-04-27 18:00,52.2
331,Oakland,2022-04-27 19:00,50.4
332,Oakland,2022-04-27 20:00,48.6
333,Oakland,2022-04-27 21:00,46.8
334,Oakland,2022-04-27 22:00,45.8
335,Oakland,2022-04-27 23:00,44.8
336,San Francisco,2022-04-21 00:00,50.7
337,San Francisco,2022-04-21 01:00,50.6
338,San Francisco,2022-04-21 02:00,50.5
339,San Francisco,2022-04-21 03:00,50.4
340,San Francisco,2022-04-21 04:00,50.2
341,San Francisco,2022-04-21 05:00,50.0
342,San Francisco,2022-04-21 06:00,49.8
343,San Francisco,2022-04-21 07:00,50.9
344,San Francisco,2022-04-21 08:00,52.0
345,San Francisco,2022-04-21 09:00,53.1
346,San Francisco,2022-04-21 10:00,53.5
347,San Francisco,2022-04-21 11:00,53.9
348,San Francisco,2022-04-21 12:00,54.3
349,San Francisco,2022-04-21 13:00,54.8
350,San Francisco,2022-04-21 14:00,55.3
351,San Francisco,2022-04-21 15:00,55.8
352,San Francisco,2022-04-21 16:00,54.9
353,San Francisco,2022-04-21 17:00,54.1
354,San Francisco,2022-04-21 18:00,53.2
355,San Francisco,2022-04-21 19:00,51.4
356,San Francisco,2022-04-21 20:00,49.6
357,San Francisco,2022-04-21 21:00,47.8
358,San Francisco,2022-04-21 22:00,47.7
359,San Francisco,2022-04-21 23:00,47.6
360,San Francisco,2022-04-22 00:00,47.5
361,San Francisco,2022-04-22 01:00,47.5
362,San Francisco,2022-04-22 02:00,47.5
363,San Francisco,2022-04-22 03:00,47.5
364,San Francisco,2022-04-22 04:00,47.5
365,San Francisco,2022-04-22 05:00,47.6
366,San Francisco,2022-04-22 06:00,47.7
367,San Francisco,2022-04-22 07:00,48.6
368,San Francisco,2022-04-22 08:00,49.5
369,San Francisco,2022-04-22 09:00,50.4
370,San Francisco,2022-04-22 10:00,51.5
371,San Francisco,2022-04-22 11:00,52.6
372,San Francisco,2022-04-22 12:00,53.8
373,San Francisco,2022-04-22 13:00,54.4
374,San Francisco,2022-04-22 14:00,55.1
375,San Francisco,2022-04-22 15:00,55.8
376,San Francisco,2022-04-22 16:00,55.4
377,San Francisco,2022-04-22 17:00,55.0
378,San Francisco,2022-04-22 18:00,54.7
379,San Francisco,2022-04-22 19:00,52.3
380,San Francisco,2022-04-22 20:00,50.0
381,San Francisco,2022-04-22 21:00,47.7
382,San Francisco,2022-04-22 22:00,47.7
383,San Francisco,2022-04-22 23:00,47.8
384,San Francisco,2022-04-23 00:00,47.8
385,San Francisco,2022-04-23 01:00,48.0
386,San Francisco,2022-04-23 02:00,48.1
387,San Francisco,2022-04-23 03:00,48.2
388,San Francisco,2022-04-23 04:00,47.9
389,San Francisco,2022-04-23 05:00,47.6
390,San Francisco,2022-04-23 06:00,47.3
391,San Francisco,2022-04-23 07:00,49.5
392,San Francisco,2022-04-23 08:00,51.7
393,San Francisco,2022-04-23 09:00,54.0
394,San Francisco,2022-04-23 10:00,56.5
395,San Francisco,2022-04-23 11:00,59.0
396,San Francisco,2022-04-23 12:00,61.5
397,San Francisco,2022-04-23 13:00,61.8
398,San Francisco,2022-04-23 14:00,62.1
399,San Francisco,2022-04-23 15:00,62.4
400,San Francisco,2022-04-23 16:00,61.5
401,San Francisco,2022-04-23 17:00,60.5
402,San Francisco,2022-04-23 18:00,59.5
403,San Francisco,2022-04-23 19:00,56.9
404,San Francisco,2022-04-23 20:00,54.3
405,San Francisco,2022-04-23 21:00,51.6
406,San Francisco,2022-04-23 22:00,51.4
407,San Francisco,2022-04-23 23:00,51.1
408,San Francisco,2022-04-24 00:00,50.9
409,San Francisco,2022-04-24 01:00,50.6
410,San Francisco,2022-04-24 02:00,50.3
411,San Francisco,2022-04-24 03:00,50.0
412,San Francisco,2022-04-24 04:00,49.9
413,San Francisco,2022-04-24 05:00,49.8
414,San Francisco,2022-04-24 06:00,49.6
415,San Francisco,2022-04-24 07:00,52.5
416,San Francisco,2022-04-24 08:00,55.4
417,San Francisco,2022-04-24 09:00,58.3
418,San Francisco,2022-04-24 10:00,61.5
419,San Francisco,2022-04-24 11:00,64.8
420,San Francisco,2022-04-24 12:00,68.0
421,San Francisco,2022-04-24 13:00,67.1
422,San Francisco,2022-04-24 14:00,66.2
423,San Francisco,2022-04-24 15:00,65.3
424,San Francisco,2022-04-24 16:00,64.1
425,San Francisco,2022-04-24 17:00,62.9
426,San Francisco,2022-04-24 18:00,61.7
427,San Francisco,2022-04-24 19:00,58.5
428,San Francisco,2022-04-24 20:00,55.2
429,San Francisco,2022-04-24 21:00,52.0
430,San Francisco,2022-04-24 22:00,51.7
431,San Francisco,2022-04-24 23:00,51.4
432,San Francisco,2022-04-25 00:00,51.1
433,San Francisco,2022-04-25 01:00,50.9
434,San Francisco,2022-04-25 02:00,50.7
435,San Francisco,2022-04-25 03:00,50.5
436,San Francisco,2022-04-25 04:00,50.7
437,San Francisco,2022-04-25 05:00,50.9
438,San Francisco,2022-04-25 06:00,51.1
439,San Francisco,2022-04-25 07:00,53.1
440,San Francisco,2022-04-25 08:00,55.0
441,San Francisco,2022-04-25 09:00,57.0
